Turtle Name , 2020 , 2021 , 2022
Abigail , 33 , 39 , 15
Ace , 35 , -1 , 29
Adam , 35 , 10 , 20
Addie , 24 , 22 , 35
Admiral , 21 , 39 , -1
Aggie , -1 , 21 , 17
Aires , 30 , 20 , 21
Aj , 14 , 32 , 32
Ajax , 17 , 33 , 39
Aldo , 10 , 38 , 28
Alex , 24 , 12 , 11
Alexus , -1 , 37 , 35
Alf , 15 , 27 , -1
Alfie , 21 , 34 , 17
Allie , 13 , 33 , -1
Ally , 10 , 20 , 16
Amber , 19 , 13 , 25
Amie , 10 , 26 , 28
Amigo , 33 , 29 , -1
Amos , 28 , -1 , 10
Amy , 30 , 39 , 39
Andy , 35 , 24 , 14
Angel , 36 , 16 , 22
Angus , 32 , 34 , -1
Annie , 38 , -1 , 39
Apollo , 24 , 35 , 23
April , -1 , 23 , 16
Archie , 35 , 37 , 28
Argus , 13 , 26 , 11
Aries , 33 , 20 , 26
Armanti , 21 , -1 , 13
Arnie , 20 , 27 , 39
Arrow , 14 , -1 , 23
Ashes , 21 , 21 , 37
Ashley , 25 , 37 , 12
Astro , -1 , 26 , 26
Athena , 26 , 26 , -1
Atlas , 22 , -1 , 39
Audi , -1 , 29 , 13
Augie , 16 , -1 , 32
Aussie , 26 , 21 , 31
Austin , 36 , 21 , 10
Autumn , 16 , -1 , 23
Axel , 31 , 35 , 28
Axle , 21 , 24 , 32
Babbles , 11 , -1 , 29
Babe , -1 , 28 , 26
Baby , -1 , 35 , 18
Baby-doll , 16 , 39 , 19
Babykins , 14 , 17 , 35
Bacchus , 26 , 17 , -1
Bailey , 28 , 26 , 35
Bam-bam , 10 , 21 , -1
Bambi , 34 , 35 , 22
Bandit , 39 , 23 , 20
Banjo , -1 , 13 , 19
Barbie , 30 , -1 , 15
Barclay , -1 , 25 , 25
Barker , 21 , -1 , 31
Barkley , 20 , -1 , 16
Barley , 22 , 35 , -1
Barnaby , 14 , -1 , 39
Barney , 13 , 33 , -1
Baron , 15 , -1 , 31
Bart , -1 , 15 , 13
Basil , 16 , 19 , 34
Baxter , 19 , 38 , 24
Bb , -1 , 22 , 14
Beamer , 28 , 24 , 21
Beanie , 17 , 37 , 39
Beans , -1 , 23 , 30
Bear , 27 , 15 , 19
Beau , 38 , 37 , -1
Beauty , 10 , 31 , 14
Beaux , 37 , 32 , 27
Bebe , 11 , 38 , 32
Beetle , 29 , 38 , 18
Bella , 33 , 15 , 30
Belle , -1 , 28 , 22
Ben , -1 , 11 , 32
Benji , 17 , 20 , 34
Benny , 33 , 17 , -1
Benson , 13 , 31 , 14
Bentley , 39 , 24 , 20
Bernie , 24 , 21 , 26
Bessie , 20 , 17 , 19
Biablo , 19 , 13 , 15
Bibbles , 16 , 36 , 13
Big , -1 , 24 , 12
Boy , 33 , 33 , -1
Big , -1 , 17 , 18
Foot , 25 , 34 , 34
Biggie , 24 , -1 , 19
Billie , 32 , 28 , 15
Billy , 31 , 32 , 17
Bingo , 37 , 25 , -1
Binky , 30 , 23 , -1
Birdie , 29 , -1 , 22
Birdy , -1 , 21 , 26
Biscuit , -1 , 12 , 35
Bishop , -1 , 38 , 25
Gus , 36 , 24 , 30
Guy , 22 , 11 , 28
Gypsy , 26 , 28 , 11
Hailey , 35 , 29 , -1
Haley , -1 , 22 , 25
Hallie , -1 , 26 , 21
Hamlet , -1 , 29 , 15
Hammer , 18 , 27 , -1
Hank , 35 , 25 , 16
Hanna , 13 , 34 , -1
Hannah , 18 , 35 , 39
Hans , 37 , 30 , 26
Happy , 13 , 31 , 30
Hardy , 12 , -1 , 15
Harley , -1 , 37 , 15
Harpo , 36 , 12 , 26
Harrison , -1 , 29 , 26
Harry , 27 , 22 , 12
Harvey , 11 , 17 , 32
Heather , -1 , 37 , 17
Heidi , 28 , 39 , 13
Henry , 13 , 32 , 14
Hercules , 26 , 15 , 10
Hershey , -1 , 28 , 36
Higgins , 13 , 31 , 36
Hobbes , 28 , 22 , 21
Holly , 38 , 36 , -1
Homer , 35 , -1 , 16
Honey , -1 , 27 , 17
Honey-Bear , 16 , 38 , 15
Hooch , 33 , -1 , 14
Hoover , 19 , -1 , 10
Hope , -1 , 32 , 10
Houdini , -1 , 13 , 39
Howie , 39 , 12 , 27
Hudson , 22 , 18 , 27
Huey , 14 , 28 , -1
Hugh , 17 , 36 , -1
Hugo , -1 , 37 , 28
Humphrey , -1 , 19 , 17
Hunter , 19 , -1 , 35
India , -1 , 33 , 26
Indy , 25 , 14 , 37
Iris , -1 , 21 , 25
Isabella , -1 , 23 , 29
Isabelle , -1 , 37 , 25
Itsy , 26 , 23 , 39
Itsy-bitsy , 30 , 11 , 23
Ivory , 29 , 29 , -1
Ivy , 24 , 23 , 31
Izzy , 34 , 18 , -1
Jack , 32 , 36 , 28
Jackie , 38 , 34 , 33
Jackpot , 11 , 32 , 13
Jackson , 30 , 39 , 36
Jade , 27 , -1 , 20
Jagger , 19 , 10 , 20
Jags , 24 , 31 , 28
Jaguar , 39 , 36 , 24
Jake , 32 , 39 , -1
Jamie , 39 , -1 , 14
Jasmine , 30 , 30 , 25
Jasper , 39 , 22 , -1
Jaxson , -1 , 20 , 20
Jazmie , 27 , -1 , 22
Jazz , 39 , -1 , 34
Jelly , 20 , -1 , 24
Jelly-bean , 15 , 16 , 31
Jenna , -1 , 12 , 32
Jenny , 32 , 16 , 28
Jerry , 36 , 20 , 21
Jersey , 19 , 25 , 20
Jess , 39 , -1 , 35
Jesse , 31 , -1 , 14
Jesse , 25 , 39 , -1
James , -1 , 29 , 17
Jessie , 38 , 21 , 35
Jester , 29 , 10 , 37
Jet , 18 , 39 , 28
Jethro , 24 , 12 , -1
